iter	Passed	Remaining
0	1	108
1	2	107
2	3	115
3	4	111
4	5	111
5	7	111
6	8	111
7	9	110
8	10	106
9	11	102
10	12	99
11	13	96
12	14	93
13	14	91
14	15	89
15	16	89
16	18	88
17	19	88
18	20	87
19	22	90
20	23	88
21	24	86
22	25	85
23	26	83
24	27	81
25	28	79
26	29	78
27	30	77
28	31	75
29	31	74
30	33	73
31	34	73
32	35	72
33	37	73
34	38	71
35	39	70
36	40	68
37	41	67
38	42	66
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	57
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	48
54	58	47
55	58	46
56	59	45
57	60	43
58	61	42
59	63	42
60	64	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	87	18
83	88	16
84	90	15
85	90	14
86	91	13
87	93	12
88	94	11
89	95	10
90	97	9
91	98	8
92	99	7
93	100	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
